Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16931310201700000100P;FA050964;PAGO CONFIRMADO;271.29;0;25/05/2017;02/06/2017;271.29;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794113201700000003P;FA050937;PAGO CONFIRMADO;104.53;0;25/05/2017;02/06/2017;104.53;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794082201700000005P;FA050936;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794082201700000004P;FA050935;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794082201700000003P;FA050933;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794082201700000002P;FA050934;PAGO CONFIRMADO;340.34;0;25/05/2017;02/06/2017;340.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933162201700000013P;FA050944;PAGO CONFIRMADO;58.34;0;24/05/2017;01/06/2017;58.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933162201700000012P;FA050943;PAGO CONFIRMADO;58.34;0;24/05/2017;01/06/2017;58.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929451201700000005P;FA050927;PAGO CONFIRMADO;542.12;0;24/05/2017;01/06/2017;542.12;30/05/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933162201700000011P;FA050926;PAGO CONFIRMADO;58.34;0;24/05/2017;01/06/2017;58.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928386201700000916P;FA050908;PAGO CONFIRMADO;361.72;0;24/05/2017;01/06/2017;361.72;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16794113201700000002P;FA050906;PAGO CONFIRMADO;104.53;0;24/05/2017;01/06/2017;104.53;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910092201600000210P;FA050880;PAGO CONFIRMADO;2258.41;0;24/05/2017;01/06/2017;2258.41;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16912953201700000001P;FA050878;PAGO CONFIRMADO;90.43;0;24/05/2017;01/06/2017;90.43;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000054P;FA050877;PAGO CONFIRMADO;142.94;0;24/05/2017;01/06/2017;142.94;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16004808201700000013P;FA050875;PAGO CONFIRMADO;904.34;0;24/05/2017;01/06/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16777925201700000108P;FA050883;PAGO CONFIRMADO;102.09;0;24/05/2017;01/06/2017;102.09;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929438201700000046P;FA050865;PAGO CONFIRMADO;142.94;0;24/05/2017;01/06/2017;142.94;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16929002201700000048P;FA050864;PAGO CONFIRMADO;142.94;0;24/05/2017;01/06/2017;142.94;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16933803201700000004P;FA050833;PAGO CONFIRMADO;58.34;0;24/05/2017;01/06/2017;58.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16912703201700000137P;FA050832;PAGO CONFIRMADO;58.34;0;24/05/2017;01/06/2017;58.34;30/05/2017;ARCSA;25/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792618201700000002P;FA050830;PAGO CONFIRMADO;340.34;0;24/05/2017;01/06/2017;340.34;30/05/2017;ARCSA;24/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910242201700000026P;FA050805;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910242201700000022P;FA050804;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16777925201700000106P;FA050794;PAGO CONFIRMADO;68.06;0;23/05/2017;31/05/2017;68.06;30/05/2017;ARCSA;23/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927277201700000021P;FA050781;PAGO CONFIRMADO;71.47;0;23/05/2017;31/05/2017;71.47;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928876201600000060P;FA050780;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910242201700000021P;FA050790;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927262201700000669P;FA050777;PAGO CONFIRMADO;56.52;0;23/05/2017;31/05/2017;56.52;30/05/2017;ARCSA;29/05/2017;ANTICIPADO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910242201700000020P;FA050786;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919058201700000154P;FA050785;PAGO CONFIRMADO;56.52;0;23/05/2017;31/05/2017;56.52;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910242201700000019P;FA050775;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16919058201700000153P;FA050771;PAGO CONFIRMADO;113.04;0;23/05/2017;31/05/2017;113.04;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16928876201600000069P;FA050782;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16930801201700000004P;FA050758;PAGO CONFIRMADO;904.34;0;23/05/2017;31/05/2017;904.34;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
