Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16910177201700000046P;FA051564;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910177201700000048P;FA051563;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000272P;FA051555;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794414201700000002P;FA051533;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16794414201700000001P;FA051532;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16794048201700000004P;FA051548;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16794048201700000005P;FA051545;PAGO CONFIRMADO;104,53;0;01/06/2017;09/06/2017;104.53;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000734P;FA051527;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000732P;FA051499;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;01/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16792791201700000075P;FA051497;PAGO CONFIRMADO;904,34;0;01/06/2017;09/06/2017;904.34;06/06/2017;ARCSA;05/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
